[小甲鱼]零基础入门学习Python,https//www.bilibili.com/video/av4050443?from=search&seid=11738418315163805743,386.0万,IT搬運工,2016-03-09
Python教程_600集Python从入门到精通教程（懂中文就能学会）,https//www.bilibili.com/video/av14184325?from=search&seid=11738418315163805743,238.4万,黑马程序员-,2017-09-05
Python编程 从入门到实践（入门篇）完结,https//www.bilibili.com/video/av35698354?from=search&seid=11738418315163805743,18.3万,sailorlisa,2018-11-10
【2019千锋】Python全套视频教程，史上最经典,https//www.bilibili.com/video/av57957614?from=search&seid=11738418315163805743,500,学点it大技术,2019-07-05
2019 Python教程400集  持续更新！,https//www.bilibili.com/video/av50240377?from=search&seid=11738418315163805743,3.6万,浅唱一生有你,2019-04-23
一个初中生用Python制作的小游戏   大神轻喷,https//www.bilibili.com/video/av54307037?from=search&seid=11738418315163805743,1.8万,Star_EZ,2019-06-02
千锋python全套视频教程，400全集，史上最经典,https//www.bilibili.com/video/av19956343?from=search&seid=11738418315163805743,57.0万,java世界第一,2018-02-23
如何在Windows 10下载和安装Python 3.7,https//www.bilibili.com/video/av37078044?from=search&seid=11738418315163805743,9971,平常心-_-,2018-11-30
【蔡徐坤】用Python实现鸡你太美（简介附源码）,https//www.bilibili.com/video/av58413073?from=search&seid=11738418315163805743,176,iamrulw,2019-07-09
2019马哥python教程-Python框架Django开发实战,https//www.bilibili.com/video/av33618159?from=search&seid=11738418315163805743,1.7万,马哥教育高薪实战中心,2018-10-11
亁颐堂乾颐盾现任明教教主Python Scapy.1,https//www.bilibili.com/video/av52096995?from=search&seid=11738418315163805743,273,我的世界56,2019-05-11
Python从入门到精通,https//www.bilibili.com/video/av41467164?from=search&seid=11738418315163805743,8434,有毒的疾风,2019-01-23
【数据结构与算法】Python数据结构与算法（精讲版）,https//www.bilibili.com/video/av46256220?from=search&seid=11738418315163805743,1.2万,自学IT的工程狮,2019-03-14
11小时 python自动化测试从入门到精通，挑战年薪30W,https//www.bilibili.com/video/av22370313?from=search&seid=11738418315163805743,3.0万,零檬信息技术,2018-04-21
当你放弃C语言而去学Python是什么感觉？,https//www.bilibili.com/video/av45580039?from=search&seid=11738418315163805743,9.2万,偶尔有点小迷糊,2019-03-07
python全栈工程师 基础+就业班（完）   B站时间最长的python教程,https//www.bilibili.com/video/av46693539?from=search&seid=11738418315163805743,7.9万,爱笑的代码狗,2019-03-24
"Python63行代码实现俄罗斯方块!史上最简!无lambda函数,无import文件关联,刷新个人记录!(玩得依旧很蔡)",https//www.bilibili.com/video/av55444691?from=search&seid=11738418315163805743,32.4万,Tonymot,2019-06-13
python游戏脚本制作（游戏游戏你长大了，你要学会自己做日常了）,https//www.bilibili.com/video/av47453086?from=search&seid=11738418315163805743,1.5万,公孙秒秒秒,2019-03-27
Python爬取数据并进行可视化展示,https//www.bilibili.com/video/av20319191?from=search&seid=11738418315163805743,5.4万,嗨学Python,2018-03-03
刚用Python写了个扫雷脚本，8s完成游戏,https//www.bilibili.com/video/av47288166?from=search&seid=11738418315163805743,2.1万,coc兔子,2019-03-25
Python400集（第一季）,https//www.bilibili.com/video/av27140815?from=search&seid=6658852644690646239,17.9万,vecjt,2018-07-18
利用Python获取WiFi密码,https//www.bilibili.com/video/av41463533?from=search&seid=6658852644690646239,2.0万,嗨学Python,2019-01-23
基于pycharm python从入门到项目实战,https//www.bilibili.com/video/av45962943?from=search&seid=6658852644690646239,2.9万,桔子IT自习室,2019-03-11
马哥 Python 实战教程：Python Django 从零学会写网站（持续更新）,https//www.bilibili.com/video/av55896737?from=search&seid=6658852644690646239,3874,马哥高薪IT实战,2019-06-17
python3 基础 中文教程,https//www.bilibili.com/video/av9445926?from=search&seid=6658852644690646239,1.9万,simon1223,2017-03-28
机器学习算法-2017邹博最新（Python版）,https//www.bilibili.com/video/av23585080?from=search&seid=6658852644690646239,8.0万,亦卿wish,2018-05-18
2019最新python教程，新手小白也适合，国外大佬带你从入门到精通YouTube百万播放量,https//www.bilibili.com/video/av56646486?from=search&seid=6658852644690646239,3728,非要让填个昵称,2019-06-24
4天学会python机器学习与量化交易,https//www.bilibili.com/video/av55456917?from=search&seid=6658852644690646239,3686,黑马程序员粉丝,2019-06-13
Python爬虫从入门到高级实战【92集】千锋Python高级教程,https//www.bilibili.com/video/av37027372?from=search&seid=6658852644690646239,9.2万,York1996,2018-11-29
2019年，大家都在用 Python干啥？,https//www.bilibili.com/video/av56523387?from=search&seid=6658852644690646239,5765,PegasusWang,2019-06-23
【Python】PyAutoGUI - 注意了，该写个游戏辅助了！,https//www.bilibili.com/video/av54966959?from=search&seid=6658852644690646239,6896,小马视频,2019-06-08
【IT】Python从入门到放弃（2016）【全】,https//www.bilibili.com/video/av8019257?from=search&seid=6658852644690646239,20.2万,庄七,2017-01-15
371集带你学会Python教程|传智播客,https//www.bilibili.com/video/av55177217?from=search&seid=6658852644690646239,6461,传智播客,2019-06-10
【Python】这可能是你见过的最简洁最没有废话的Python教程,https//www.bilibili.com/video/av5236569?from=search&seid=12001941602252030277,22.6万,shr1992,2016-07-07
Python黑科技—暴力破解邻居家wifi密码,https//www.bilibili.com/video/av56807830?from=search&seid=16900449613698937194,2626,逻辑python院,2019-06-25
20行python造个稳定器，手把手教你（新手，各领域）就可以用树莓派制作简单的拍摄稳定器,https//www.bilibili.com/video/av55863831?from=search&seid=6658852644690646239,4299,格物创意官方,2019-06-17
Python 项目实战视频教程全集（105P）| 26 小时从入门到精通,https//www.bilibili.com/video/av48921588?from=search&seid=6658852644690646239,1.5万,Java基基,2019-04-11
Python75行代码实现俄罗斯方块游戏-完整代码教程,https//www.bilibili.com/video/av55349091?from=search&seid=12001941602252030277,8881,Tonymot,2019-06-12
Python语言程序设计_北京理工大学,https//www.bilibili.com/video/av42408424?from=search&seid=12001941602252030277,2.5万,大学课程君,2019-02-02
python3.7(64位)下载及安装,https//www.bilibili.com/video/av29748240?from=search&seid=16900449613698937194,1.2万,自在极意喵,2018-08-19
python新手强烈推荐教程：爬虫入门,https//www.bilibili.com/video/av19954075?from=search&seid=16900449613698937194,9.0万,python学习者,2018-02-23
利用Python实现国家财政趋势演示！,https//www.bilibili.com/video/av58210266?from=search&seid=6658852644690646239,691,python数据分析,2019-07-07
Threading 学会多线程 (莫烦 Python 教程),https//www.bilibili.com/video/av16944429?from=search&seid=6658852644690646239,3.2万,莫烦Python,2017-12-04
零基础自学编程，不要学Python！| 推荐 2019 年适合学习的编程语言,https//www.bilibili.com/video/av53795296?from=search&seid=12001941602252030277,6.1万,the阿磊,2019-05-28
python突破限制，播放全网任何电影,https//www.bilibili.com/video/av57120352?from=search&seid=12001941602252030277,2321,Python编程爬虫工程师,2019-06-28
Python爬取淘宝女郎，一起欣赏貌美的淘宝MM！,https//www.bilibili.com/video/av23592420?from=search&seid=16900449613698937194,6.3万,Python新视界,2018-05-18
自从小侄子学会python后，从此玩王者农药没差过金币！,https//www.bilibili.com/video/av54046114?from=search&seid=16900449613698937194,2.9万,轻松学Python,2019-05-30
【自学教程】4小时Python速成！Google内部培训资料,https//www.bilibili.com/video/av15854659?from=search&seid=6658852644690646239,5.0万,providence2,2017-10-30
【中文字幕】写给大家看的Python入门教程（四小时高清完整版）,https//www.bilibili.com/video/av34809983?from=search&seid=6658852644690646239,3.4万,趣味科普人文,2018-10-28
【一起啃书】Python编程从入门到实践,https//www.bilibili.com/video/av51845189?from=search&seid=12001941602252030277,4.9万,致敬大神,2019-05-08
自从学会了Python，我从来不为看什么电影发愁，好看的，付费的，百度不到资源的全部一网打井！,https//www.bilibili.com/video/av31697253?from=search&seid=12001941602252030277,35.1万,轻松学Python,2018-09-14
10年老程序员聊 培训机构炒作python号称年薪40万,https//www.bilibili.com/video/av52160990?from=search&seid=16900449613698937194,5.5万,我是程序汪,2019-05-11
【Python教程】《零基础入门学习Python》（小甲鱼）,https//www.bilibili.com/video/av27789609?from=search&seid=16900449613698937194,32.6万,鱼C-小甲鱼,2018-07-26
Python全栈（老男孩4期）Django框架入门到应用,https//www.bilibili.com/video/av22606568?from=search&seid=6658852644690646239,5.3万,CatorJ,2018-04-26
Python全栈+爬虫+高端自动化课程,https//www.bilibili.com/video/av47514807?from=search&seid=12001941602252030277,1.6万,Instagram柒夏,2019-03-28
10行python代码，急速采集小电影！,https//www.bilibili.com/video/av38514576?from=search&seid=12001941602252030277,3.9万,Python编程爬虫工程师,2018-12-19
Python黑客编程,https//www.bilibili.com/video/av53899775?from=search&seid=16900449613698937194,8336,白帽黑客教程,2019-06-11
说说为什么我不赞成新人学Python,https//www.bilibili.com/video/av43395856?from=search&seid=16900449613698937194,7.6万,孙老师非要尬聊,2019-02-13
老男孩教育python全栈15期(145天全),https//www.bilibili.com/video/av51299056?from=search&seid=12001941602252030277,2.6万,保护我方狄仁杰,2019-05-03
Python从入门到进阶（适合初学者）(已完结),https//www.bilibili.com/video/av56702335?from=search&seid=12001941602252030277,5353,Champions12,2019-06-24
全国计算机二级Python科目基础知识教程,https//www.bilibili.com/video/av41252838?from=search&seid=16900449613698937194,2.4万,悦焱,2019-01-20
Python开发简单爬虫,https//www.bilibili.com/video/av58402646?from=search&seid=16900449613698937194,162,自力更生的小咸鱼,2019-07-09
七天学会Python，简而精,https//www.bilibili.com/video/av31617063?from=search&seid=12001941602252030277,8.0万,隔壁家de老刘,2018-09-13
python爬虫,https//www.bilibili.com/video/av58269482?from=search&seid=12001941602252030277,463,呼啦啦哔哩哔哩,2019-07-08
【用Python处理Excel数据，中文全基础系列教程】,https//www.bilibili.com/video/av54831940?from=search&seid=16900449613698937194,6991,说到做到的橙橙橙,2019-06-07
崔庆才python3爬虫入门到精通,https//www.bilibili.com/video/av37497888?from=search&seid=16900449613698937194,2.4万,weilei_gakki,2018-12-06
【python教程】数据分析——numpy、pandas、matplotlib,https//www.bilibili.com/video/av57023791?from=search&seid=12001941602252030277,4165,luvm的小屋,2019-06-27
【python入门】老男孩python开发 2019全新合集,https//www.bilibili.com/video/av58358030?from=search&seid=12001941602252030277,97,老男孩IT-python,2019-07-08
Python400集2018最新版,https//www.bilibili.com/video/av28123572?from=search&seid=16900449613698937194,6.1万,一剑霜寒拾肆州,2018-07-30
python数据结构与算法系列课程,https//www.bilibili.com/video/av21540971?from=search&seid=16900449613698937194,9.0万,woshigzp,2018-04-02
利用Python破解WiFi密码，万能钥匙不能破解的，Python只需要3秒钟！,https//www.bilibili.com/video/av40462646?from=search&seid=12001941602252030277,2.2万,iOS志成,2019-01-11
2019年python深入浅出进阶教程【黑马程序员】,https//www.bilibili.com/video/av55857574?from=search&seid=12001941602252030277,1.3万,黑马程序员-,2019-06-17
【Python入门课】最容易听懂的 Python 零基础入门课,https//www.bilibili.com/video/av23687046?from=search&seid=16900449613698937194,7.9万,藤桑TOT,2018-05-20
Python实用练手小项目（超简单）,https//www.bilibili.com/video/av24431072?from=search&seid=12001941602252030277,4.4万,轻松学Python,2018-06-06
【Python】初学者完整教程 (强烈推荐！！),https//www.bilibili.com/video/av31294714?from=search&seid=12001941602252030277,5.1万,Arc_en_ciel,2018-09-08
Python 2018最新版,https//www.bilibili.com/video/av28148919?from=search&seid=16900449613698937194,25.5万,最后一个程序猿,2018-07-31
【Python最强教学】Python for Everybody 中英双字幕,https//www.bilibili.com/video/av56441061?from=search&seid=16900449613698937194,4.7万,小美手,2019-06-22
原价699元的30个小时搞定Python网络爬虫,https//www.bilibili.com/video/av56504908?from=search&seid=12001941602252030277,1.3万,爱笑的程序狗,2019-06-23
【Python】2018老男孩 python 全栈第9期130天培训,https//www.bilibili.com/video/av33573600?from=search&seid=16900449613698937194,8.1万,每日CG教程盘点,2018-10-10
震惊！14岁少年用python编出直播弹幕玩MC Minecraft,https//www.bilibili.com/video/av29731809?from=search&seid=16900449613698937194,17.0万,小墨boy,2018-08-19
