标题,位置,面积,面向,室,厅,卫,价格
志强北园2室1厅南/北,海淀-小西天,56㎡,南北,2,1,1,6800 元/月
整租·车道沟南里1室0厅南,海淀-紫竹桥,15㎡,南,1,0,1,2800 元/月
整租·团结湖北五条2室1厅东/南,朝阳-团结湖,81㎡,东南,2,1,1,9800 元/月
整租·中建一局北院2室2厅南/北,丰台-七里庄,79㎡,南北,2,2,1,5800 元/月
整租·广渠家园2室1厅东,东城-广渠门,51㎡,东,2,1,1,5900 元/月
整租·泥洼路5号院2室1厅南/北,丰台-七里庄,61㎡,南北,2,1,1,6000 元/月
花园闸小区2室1厅西/北,朝阳-定福庄,62㎡,西北,2,1,1,6200 元/月
整租·中建一局南院2室1厅南,丰台-七里庄,48㎡,南,2,1,1,5200 元/月
整租·铭科苑2室1厅西,海淀-西二旗,72㎡,西,2,1,1,6600 元/月
整租·新村二里2室1厅南/北,丰台-玉泉营,56㎡,南北,2,1,1,4000 元/月
石榴园北里小区2室1厅南/北,丰台-刘家窑,65㎡,南北,2,1,1,6200 元/月
石榴园北里小区1室1厅南,丰台-刘家窑,50㎡,南,1,1,1,5500 元/月
整租·十里堡北里2室1厅东,朝阳-十里堡,62㎡,东,2,1,1,6800 元/月
金蝉北里1室1厅南/北,朝阳-垡头,50㎡,南北,1,1,1,4400 元/月
葛村西里2室1厅南,丰台-玉泉营,58㎡,南,2,1,1,4500 元/月
定福庄南里3号院1室1厅南,朝阳-定福庄,53㎡,南,1,1,1,4400 元/月
整租·美然动力A1区2室1厅南/北,朝阳-定福庄,97㎡,南北,2,1,1,7500 元/月
博雅西园3室2厅南/北,海淀-马连洼,159㎡,南北,3,2,2,13000 元/月
华龙苑南里3室1厅南/北,昌平-霍营,71㎡,南北,3,1,1,6600 元/月
华龙苑中里2室1厅东南,昌平-霍营,109㎡,东南,2,1,1,6000 元/月
华龙苑中里2室1厅东/北,昌平-霍营,51㎡,东北,2,1,1,5100 元/月
华龙苑中里2室1厅南/北,昌平-霍营,55㎡,南北,2,1,1,5700 元/月
华龙苑中里2室1厅南/北,昌平-霍营,56㎡,南北,2,1,1,5200 元/月
飘HOME2室1厅西南,朝阳-酒仙桥,89㎡,西南,2,1,1,9500 元/月
金尚嘉园1室1厅西,海淀-牡丹园,116㎡,西,1,1,1,8000 元/月
整租·永兴里3室1厅南/北,丰台-丰台其它,69㎡,南北,3,1,1,3500 元/月
永定路85号院2室1厅东南,海淀-五棵松,54㎡,东南,2,1,1,6000 元/月
风雅园二区2室2厅南/北,昌平-回龙观,93㎡,南北,2,2,1,6200 元/月
刘家窑南里2室1厅南/北,丰台-蒲黄榆,66㎡,南北,2,1,1,6400 元/月
整租·刘家窑南里1室1厅南,丰台-蒲黄榆,43㎡,南,1,1,1,4800 元/月
整租·塔院小区3室1厅南/北,海淀-牡丹园,81㎡,南北,3,1,1,11000 元/月
整租·塔院小区2室1厅南,海淀-牡丹园,66㎡,南,2,1,1,9000 元/月
塔院小区1室1厅南,海淀-牡丹园,41㎡,南,1,1,1,5800 元/月
整租·玉阜嘉园2室1厅南,海淀-玉泉路,112㎡,南,2,1,1,8800 元/月
整租·龙博苑三区1室1厅南/北,昌平-回龙观,59㎡,南北,1,1,1,5400 元/月
和义东里五区3室1厅南/北,丰台-和义,80㎡,南北,3,1,1,5300 元/月
前泥洼小区2室1厅南/北,丰台-丽泽,60㎡,南北,2,1,1,5400 元/月
整租·磨房北里2室1厅南,朝阳-北工大,57㎡,南,2,1,1,6100 元/月
整租·龙翔路小区1室1厅南,海淀-牡丹园,44㎡,南,1,1,1,5500 元/月
整租·八里庄东里3室1厅南/北,朝阳-四惠,71㎡,南北,3,1,1,6800 元/月
整租·八里庄东里2室1厅南/北,朝阳-四惠,60㎡,南北,2,1,1,6600 元/月
中纺里2室1厅南,朝阳-三里屯,50㎡,南,2,1,1,7800 元/月
整租·北三环中路43号院2室1厅西北,海淀-马甸,70㎡,西北,2,1,1,8000 元/月
文林大厦2室1厅西南,海淀-皂君庙,77㎡,西南,2,1,1,8500 元/月
南庭新苑北区1室1厅东,丰台-新宫,50㎡,东,1,1,1,4000 元/月
南庭新苑北区2室1厅南,丰台-新宫,60㎡,南,2,1,1,4700 元/月
古城路小区1室1厅南,石景山-古城,27㎡,南,1,1,1,3400 元/月
整租·青荷里南山园2室1厅南,朝阳-豆各庄,82㎡,南,2,1,1,4500 元/月
八角路小区2室0厅南,石景山-八角,37㎡,南,2,0,1,3200 元/月
中鑫嘉园2室1厅东/北,朝阳-牡丹园,97㎡,东北,2,1,1,13000 元/月
松榆里2室1厅西南/北,朝阳-潘家园,75㎡,西南北,2,1,1,7200 元/月
松榆里2室1厅西南,朝阳-潘家园,55㎡,西南,2,1,1,6200 元/月
整租·松榆里2室1厅南/西/北,朝阳-潘家园,60㎡,南西北,2,1,1,5800 元/月
智学苑3室2厅南/西,海淀-西二旗,128㎡,南西,3,2,2,10000 元/月
智学苑2室1厅南/西,海淀-西二旗,82㎡,南西,2,1,1,7500 元/月
雍景双庐1室1厅东,石景山-苹果园,71㎡,东,1,1,1,5500 元/月
雍景双庐2室1厅西,石景山-苹果园,71㎡,西,2,1,1,5000 元/月
诚苑南里2室2厅东南,丰台-新宫,93㎡,东南,2,2,1,4500 元/月
芳园里2室1厅东南/西北,朝阳-酒仙桥,66㎡,东南西北,2,1,1,8500 元/月
整租·芳园里1室1厅南/北,朝阳-酒仙桥,63㎡,南北,1,1,1,6500 元/月
广安门内大街2室1厅南,西城-牛街,53㎡,南,2,1,1,6500 元/月
五建小区2室1厅西,朝阳-定福庄,94㎡,西,2,1,1,6200 元/月
国瑞城中区2室1厅东南,东城-崇文门,81㎡,东南,2,1,1,9800 元/月
整租·国瑞城中区1室1厅东,东城-崇文门,52㎡,东,1,1,1,7300 元/月
整租·望园西里2室1厅南/北,丰台-七里庄,63㎡,南北,2,1,1,5800 元/月
金隅景和园3室1厅南/北,朝阳-东坝,90㎡,南北,3,1,1,6400 元/月
金隅景和园2室1厅南,朝阳-东坝,87㎡,南,2,1,1,5800 元/月
金隅景和园1室1厅南,朝阳-东坝,61㎡,南,1,1,1,4800 元/月
金隅景和园2室1厅南,朝阳-东坝,85㎡,南,2,1,1,5300 元/月
金隅景和园2室1厅南,朝阳-东坝,87㎡,南,2,1,1,5300 元/月
整租·亮马桥9号院2室1厅西南/东北,朝阳-朝阳公园,55㎡,西南东北,2,1,1,6700 元/月
整租·蒲安里2室1厅南,丰台-蒲黄榆,53㎡,南,2,1,1,5800 元/月
整租·柏林爱乐三期2室1厅南/北,朝阳-常营,94㎡,南北,2,1,1,7500 元/月
柏林爱乐三期1室1厅南,朝阳-常营,69㎡,南,1,1,1,6500 元/月
甜水园北里1室1厅南,朝阳-甜水园,58㎡,南,1,1,1,5700 元/月
首开常青藤三期3室1厅南/北,朝阳-东坝,93㎡,南北,3,1,1,8500 元/月
整租·荣上居1室0厅南,海淀-中关村,39㎡,南,1,0,1,6500 元/月
磨房南里1室1厅西,朝阳-北工大,44㎡,西,1,1,1,4900 元/月
电信小区2室1厅南/北,海淀-军博,50㎡,南北,2,1,1,7000 元/月
电信小区1室1厅南,海淀-军博,42㎡,南,1,1,1,5000 元/月
松榆西里2室1厅东/西,朝阳-潘家园,59㎡,东西,2,1,1,6100 元/月
整租·松榆西里1室1厅南,朝阳-潘家园,45㎡,南,1,1,1,5300 元/月
松榆西里1室1厅南,朝阳-潘家园,45㎡,南,1,1,1,5200 元/月
整租·碧水园1室1厅西,朝阳-甜水园,60㎡,西,1,1,1,8200 元/月
燕北园3室1厅南/北,海淀-颐和园,80㎡,南北,3,1,1,8200 元/月
泰河园一里一区1室1厅南,亦庄开发区-亦庄开发区其它,70㎡,南,1,1,1,3800 元/月
泰河园一里一区2室1厅南/北,亦庄开发区-亦庄开发区其它,83㎡,南北,2,1,1,4000 元/月
德宝新园1室1厅东南,西城-西直门,42㎡,东南,1,1,1,5900 元/月
德宝新园2室1厅西南,西城-西直门,60㎡,西南,2,1,1,7500 元/月
毛纺住宅北小区2室1厅东/西,海淀-安宁庄,76㎡,东西,2,1,1,5500 元/月
整租·安苑东里一区2室1厅南/北,朝阳-惠新西街,60㎡,南北,2,1,1,7000 元/月
青云北区1室1厅南,海淀-双榆树,42㎡,南,1,1,1,6500 元/月
苹果园小区三区2室1厅西南,石景山-苹果园,77㎡,西南,2,1,1,5600 元/月
苹果园小区三区2室1厅东南/北,石景山-苹果园,74㎡,东南北,2,1,1,5200 元/月
禧福汇1室0厅西,朝阳-北工大,45㎡,西,1,0,1,6400 元/月
金星小区1室1厅南/北,朝阳-定福庄,43㎡,南北,1,1,1,4200 元/月
彩虹城一区2室1厅西南,丰台-赵公口,90㎡,西南,2,1,1,7000 元/月
整租·高家园三区1室1厅东南,朝阳-酒仙桥,43㎡,东南,1,1,1,5300 元/月
八里庄西里2室1厅西南,朝阳-四惠,74㎡,西南,2,1,1,6800 元/月
整租·新金山酒店式公寓1室0厅东,朝阳-朝阳门外,58㎡,东,1,0,1,7400 元/月
整租·新金山酒店式公寓1室0厅西,朝阳-朝阳门外,58㎡,西,1,0,1,7500 元/月
整租·甘露家园2室1厅南/北,朝阳-甘露园,57㎡,南北,2,1,1,5500 元/月
整租·朝阳公园西里北区1室1厅东南,朝阳-农展馆,45㎡,东南,1,1,1,5300 元/月
整租·朝阳公园西里北区1室1厅东南,朝阳-农展馆,38㎡,东南,1,1,1,6300 元/月
蓟门东里2室1厅南,海淀-知春路,66㎡,南,2,1,1,8000 元/月
